game_id,p1,p2,winner,loser,game_pattern
0,519,582,519,582,381674250
1,300,269,300,269,1568032
2,638,374,638,374,056824713
3,602,814,602,814,2708631
4,810,461,0,0,084326715
5,947,722,947,722,018735264
6,434,724,434,724,4250731
7,58,81,0,0,204175368
8,165,757,757,165,80563472
9,388,311,388,311,421853607
10,138,178,178,138,03827415
11,48,588,0,0,714352680
12,41,533,41,533,6381275
13,314,497,314,497,4612087
14,226,687,226,687,6805473
15,53,690,53,690,853172046
16,798,249,798,249,1673052
17,539,893,893,539,850423
18,399,256,399,256,3018467
19,516,190,516,190,312507864
20,477,64,477,64,7034816
21,512,230,512,230,18062
22,35,179,35,179,0372184
23,970,195,195,970,52816340
24,537,449,449,537,467083
25,917,377,377,917,14637025
26,719,109,109,719,048652
27,983,780,983,780,13764
28,554,594,594,554,837620
29,974,734,0,0,305764128
30,244,368,244,368,6283047
31,906,498,498,906,23516704
32,647,806,647,806,5487102
33,794,29,0,0,426807135
34,261,765,261,765,0751238
35,64,656,656,64,62573481
36,185,21,185,21,02346
37,921,862,0,0,708435162
38,416,823,416,823,548106732
39,640,431,431,640,315784
40,813,944,813,944,0756423
41,421,758,0,0,148763520
42,862,873,873,862,248305
43,928,541,928,541,4107652
44,782,51,782,51,473210865
45,645,493,493,645,58043617
46,162,868,0,0,610428735
47,26,837,837,26,37402618
48,984,357,357,984,286074
49,575,723,723,575,57241068
50,792,300,792,300,5238016
51,959,2,959,2,2301458
52,66,901,66,901,312485706
53,578,407,578,407,2041583
54,603,986,603,986,2584706
55,365,321,365,321,145627308
56,154,420,154,420,3580726
57,162,364,364,162,52148736
58,937,792,937,792,534281760
59,595,91,0,0,271564803
60,147,680,680,147,70651423
61,414,560,414,560,0315672
62,846,274,846,274,60817
63,328,826,328,826,65728
64,799,983,983,799,23761485
65,156,992,156,992,5314062
66,504,127,127,504,36241870
67,169,928,169,928,1732056
68,759,508,759,508,5302478
69,332,980,332,980,10734
70,640,866,0,0,012685743
71,644,401,644,401,715832640
72,516,724,724,516,723518
73,206,295,206,295,213874650
74,100,748,100,748,42365
75,171,763,763,171,16548702
76,874,781,781,874,74601238
77,326,763,326,763,4230185
78,449,632,632,449,51306724
79,345,598,345,598,0351428
80,557,302,557,302,105748236
81,685,240,685,240,3681024
82,256,13,256,13,84275
83,263,961,263,961,354186720
84,206,396,206,396,1305764
85,746,336,746,336,4378521
86,758,337,758,337,637028514
87,852,270,852,270,4623850
88,476,412,412,476,475608
89,174,54,0,0,516803724
90,517,336,0,0,853674102
91,155,392,155,392,824563107
92,863,363,0,0,265348710
93,263,542,542,263,382756
94,667,469,667,469,4385721
95,665,325,665,325,064175328
96,409,960,409,960,073582164
97,135,995,995,135,51348276
98,560,443,560,443,4308751
99,747,260,260,747,52386470
100,192,894,894,192,70123854
101,467,751,751,467,25768314
102,569,717,569,717,7360451
103,990,654,990,654,8153462
104,620,740,620,740,267835104
105,902,86,86,902,23084657
106,500,511,500,511,0426531
107,496,708,496,708,531607428
108,815,940,815,940,035281674
109,150,896,150,896,1804362
110,342,913,913,342,103428
111,325,530,325,530,51208
112,211,665,0,0,147520368
113,686,994,994,686,861204
114,227,46,227,46,168357042
115,163,42,163,42,4256870
116,651,239,651,239,8372106
117,764,425,425,764,304182
118,680,18,680,18,1627835
119,951,998,0,0,407136852
120,446,281,446,281,60837
121,631,203,203,631,28357410
122,521,431,431,521,21503468
123,910,968,968,910,12340856
124,54,839,839,54,24531076
125,455,708,455,708,860357142
126,237,681,237,681,362174508
127,167,303,167,303,0135276
128,713,996,0,0,176053824
129,199,883,0,0,318076254
130,923,587,587,923,48571026
131,426,269,426,269,61274
132,903,799,903,799,0561274
133,937,664,664,937,86102573
134,59,531,531,59,68307152
135,495,232,232,495,06153278
136,569,564,569,564,467201358
137,325,731,325,731,362784051
138,378,297,297,378,261847
139,592,729,729,592,01724538
140,930,926,930,926,05478
141,758,237,758,237,3207814
142,242,491,491,242,57018364
143,722,856,0,0,163025748
144,799,847,0,0,584162037
145,240,445,240,445,4715602
146,930,940,940,930,614280
147,182,452,182,452,2741356
148,504,732,732,504,51063487
149,352,25,352,25,60827
150,443,18,18,443,42875160
151,859,489,859,489,7186024
152,551,499,551,499,876512043
153,777,494,777,494,4170658
154,275,645,275,645,415820736
155,362,965,965,362,14256038
156,829,641,829,641,5708314
157,354,124,124,354,68037514
158,56,108,0,0,721368540
159,610,666,666,610,40816532
160,886,284,886,284,0382164
161,898,449,449,898,51670284
162,109,383,383,109,31068274
163,611,734,734,611,641573
164,694,571,694,571,876502143
